logfile,conflicts,time0,time1,time2
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,0,0.000392913818359375,0.00039124488830566406,0.0003941059112548828
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,2,0.00042700767517089844,0.00043702125549316406,0.00044608116149902344
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,4,0.0004410743713378906,0.0004470348358154297,0.00045680999755859375
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,6,0.00047588348388671875,0.00047516822814941406,0.00047206878662109375
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,8,0.0005083084106445312,0.0005199909210205078,0.0005271434783935547
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,10,0.0005559921264648438,0.0005550384521484375,0.0005528926849365234
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,12,0.0006010532379150391,0.0005729198455810547,0.0005609989166259766
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,14,0.0006022453308105469,0.0005879402160644531,0.0005831718444824219
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,16,0.0006351470947265625,0.0006308555603027344,0.0006158351898193359
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,18,0.0006251335144042969,0.0006310939788818359,0.0006399154663085938
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,20,0.0006511211395263672,0.0006639957427978516,0.0006561279296875
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,22,0.0006742477416992188,0.0006783008575439453,0.0006670951843261719
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,24,0.0006546974182128906,0.0006971359252929688,0.0007140636444091797
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,0,0.00045013427734375,0.0003840923309326172,0.0003829002380371094
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,2,0.00045609474182128906,0.0005271434783935547,0.0004589557647705078
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,4,0.0004801750183105469,0.0004658699035644531,0.00046706199645996094
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,6,0.00048279762268066406,0.0004851818084716797,0.0005059242248535156
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,8,0.0005238056182861328,0.0005738735198974609,0.0005271434783935547
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,10,0.0005359649658203125,0.0005402565002441406,0.0005497932434082031
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,12,0.0005548000335693359,0.0005521774291992188,0.0006439685821533203
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,14,0.0006029605865478516,0.0005948543548583984,0.0005996227264404297
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,16,0.0006122589111328125,0.0007193088531494141,0.0006279945373535156
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,18,0.0006449222564697266,0.0006401538848876953,0.0006542205810546875
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,20,0.0006682872772216797,0.0006558895111083984,0.0006840229034423828
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,22,0.0006899833679199219,0.0006911754608154297,0.0006730556488037109
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,24,0.0006968975067138672,0.0007231235504150391,0.0007181167602539062
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,0,0.0004019737243652344,0.000408172607421875,0.0004029273986816406
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,2,0.00047707557678222656,0.0004940032958984375,0.0004448890686035156
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,4,0.0004742145538330078,0.00046324729919433594,0.0004620552062988281
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,6,0.0004918575286865234,0.0004811286926269531,0.0004811286926269531
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,8,0.0005269050598144531,0.0005037784576416016,0.0006539821624755859
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,10,0.0005357265472412109,0.0005390644073486328,0.0005559921264648438
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,12,0.0005860328674316406,0.0005578994750976562,0.0005638599395751953
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,14,0.0006091594696044922,0.0005898475646972656,0.0006041526794433594
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,16,0.0006170272827148438,0.0006101131439208984,0.0006411075592041016
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,18,0.0006651878356933594,0.0006351470947265625,0.0007979869842529297
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,20,0.0007421970367431641,0.0006740093231201172,0.0006899833679199219
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,22,0.0006949901580810547,0.0007271766662597656,0.0007050037384033203
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,24,0.0007171630859375,0.0007176399230957031,0.0007081031799316406
