constraint_count,dtime0,dtime1,dtime2,dtime3,dtime4,dtime5,dtime6,dtime7,dtime8,dtime9,dtime_avg
5000,72.459,79.149,72.766,81.501,79.65,66.202,65.499,69.084,88.195,80.718,75.5223
10000,174.837,183.814,195.447,190.915,210.833,185.465,188.033,207.557,207.863,194.153,193.8917
20000,570.927,593.974,589.379,578.479,547.706,608.049,593.728,576.268,570.083,566.868,579.5461
40000,1327.8229999999999,1274.243,1211.478,1307.452,1249.274,1348.468,1240.159,1262.185,1232.952,1313.883,1276.7917
60000,2123.767,2030.352,2045.351,2035.444,2074.213,2084.472,2066.771,2030.459,2054.207,2034.086,2057.9121999999998
80000,2582.686,2728.813,2609.4030000000002,2726.591,2634.7799999999997,2786.2,2836.391,2793.286,2737.006,2871.294,2730.645
100000,3145.502,3254.576,3260.5299999999997,3297.678,3182.138,3287.272,3202.254,3366.44,3337.079,3289.327,3262.2796
120000,3539.313,3452.248,3552.112,3572.36,3628.245,3487.726,3579.755,3607.6710000000003,3594.384,3524.531,3553.8345
140000,3846.337,3946.514,3953.625,3875.043,3948.33,4062.211,3902.947,3850.8379999999997,3927.166,3968.516,3928.1527
160000,3944.378,3801.552,3885.656,3924.58,3871.327,3957.02,4019.271,3916.3,4020.571,4033.717,3937.4372000000003
180000,4154.149,4209.179,4239.899,4285.183,4333.751,4348.394,4270.144,4362.208,4241.907,4214.294,4265.9108
200000,4466.236,4577.187,4497.768,4565.134,4615.43,4584.491,4485.494,4549.933,4696.573,4663.85,4570.2096
