constraint_count,dtime0,dtime1,dtime2,dtime3,dtime4,dtime5,dtime6,dtime7,dtime8,dtime9,dtime_avg
5000,0:00:00.079017,0:00:00.075447,0:00:00.077536,0:00:00.073685,0:00:00.070184,0:00:00.066682,0:00:00.068811,0:00:00.067040,0:00:00.083881,0:00:00.082594,0:00:00.074488
10000,0:00:00.167987,0:00:00.193432,0:00:00.192304,0:00:00.215241,0:00:00.215171,0:00:00.199080,0:00:00.208070,0:00:00.229020,0:00:00.204032,0:00:00.222534,0:00:00.204687
20000,0:00:00.537035,0:00:00.482901,0:00:00.564573,0:00:00.501057,0:00:00.578681,0:00:00.594541,0:00:00.593064,0:00:00.523864,0:00:00.559634,0:00:00.512374,0:00:00.544772
40000,0:00:01.245236,0:00:01.306514,0:00:01.254948,0:00:01.302482,0:00:01.188043,0:00:01.282661,0:00:01.182527,0:00:01.299376,0:00:01.214000,0:00:01.301494,0:00:01.257728
60000,0:00:02.023529,0:00:01.952090,0:00:02.020364,0:00:02.072722,0:00:02.043318,0:00:02.138995,0:00:02.146390,0:00:02.057237,0:00:02.042589,0:00:02.084149,0:00:02.058138
80000,0:00:02.619413,0:00:02.781470,0:00:02.676731,0:00:02.672280,0:00:02.726627,0:00:02.711405,0:00:02.750159,0:00:02.746699,0:00:02.800787,0:00:02.708574,0:00:02.719414
100000,0:00:02.986813,0:00:03.124397,0:00:03.249313,0:00:03.262702,0:00:03.337317,0:00:03.174177,0:00:03.176187,0:00:03.213828,0:00:03.133556,0:00:03.328960,0:00:03.198725
120000,0:00:03.435754,0:00:03.510244,0:00:03.587669,0:00:03.535652,0:00:03.452626,0:00:03.562309,0:00:03.622018,0:00:03.582738,0:00:03.548484,0:00:03.672262,0:00:03.550976
140000,0:00:03.654273,0:00:03.873744,0:00:03.903411,0:00:03.945181,0:00:03.813760,0:00:03.852190,0:00:04.054348,0:00:03.887202,0:00:03.885653,0:00:03.983451,0:00:03.885321
160000,0:00:03.706902,0:00:03.906794,0:00:03.921094,0:00:03.792190,0:00:03.925703,0:00:04.011982,0:00:03.853428,0:00:03.928015,0:00:04.042280,0:00:03.791505,0:00:03.887989
180000,0:00:03.748806,0:00:03.971926,0:00:03.882368,0:00:04.143570,0:00:04.134505,0:00:04.132539,0:00:04.295775,0:00:04.290542,0:00:04.400969,0:00:04.316679,0:00:04.131768
200000,0:00:04.971412,0:00:04.807570,0:00:04.913021,0:00:05.023476,0:00:04.874105,0:00:04.876697,0:00:04.960860,0:00:04.807983,0:00:04.826709,0:00:04.958218,0:00:04.902005
