log_file,activity_count,selectivity_level,selectivity,detection_time
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,200,high,0.029592850049652432,0.4856
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,200,medium,0.0506454816285998,0.6445000000000001
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,200,low,0.29056603773584905,2.0039000000000002
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,400,high,0.021437740693196407,0.7121999999999999
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,400,medium,0.05019255455712452,0.9532999999999999
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,400,low,0.37894736842105264,3.5793999999999997
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,600,high,0.016428922774225283,0.8999
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,600,medium,0.05666502705361535,1.6579000000000002
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,600,low,0.4449581898671913,5.004099999999999
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,800,high,0.01354549163606691,1.1174
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,800,medium,0.06421868625051,1.8858000000000001
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,800,low,0.47686658506731944,6.631399999999999
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1000,high,0.011278195488721804,1.3180999999999998
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1000,medium,0.0684894053315106,2.5974
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1000,low,0.5899521531100479,8.2498
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1200,high,0.010058479532163742,1.5399
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1200,medium,0.07912280701754386,3.0288
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1200,low,0.5691812865497076,9.431799999999999
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1400,high,0.00863157894736842,1.7075
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1400,medium,0.09110526315789473,3.0501
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1400,low,0.6128947368421053,11.1226
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1600,high,0.007634967246442286,1.8414000000000001
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1600,medium,0.0960018070928394,4.2804
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1600,low,0.5870792861983284,12.9181
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1800,high,0.007555178268251274,2.463
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1800,medium,0.1014006791171477,3.9616
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1800,low,0.5628183361629882,13.0839
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,2000,high,0.006554121151936445,2.2541
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,2000,medium,0.10832174776564052,5.130999999999999
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,2000,low,0.6401986097318768,14.587399999999999
