log_file,activity_count,users,resources,selectivity_level,selectivity,detection_time
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,200,5,53,high,0.03257199602780536,0.4965
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,200,5,53,medium,0.050049652432969216,0.6817
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,200,5,53,low,0.20039721946375372,2.4048000000000003
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,400,5,82,high,0.021822849807445442,0.7796
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,400,5,82,medium,0.0503209242618742,1.0549
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,400,5,82,low,0.22554557124518615,4.0734
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,600,5,107,high,0.017412690605017215,0.9190999999999999
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,600,5,107,medium,0.05174618789965568,1.6882000000000001
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,600,5,107,low,0.23157894736842105,6.062099999999999
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,800,5,129,high,0.01379028967768258,1.1679
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,800,5,129,medium,0.05695634434924521,2.0408999999999997
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,800,5,129,low,0.24316605467156263,7.4063
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1000,5,154,high,0.011551606288448394,1.2907
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1000,5,154,medium,0.06138072453861928,2.8043
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1000,5,154,low,0.24477101845522897,9.0465
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1200,5,180,high,0.010058479532163742,1.5939
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1200,5,180,medium,0.06210526315789474,3.1559
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1200,5,180,low,0.2324561403508772,10.9556
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1400,5,200,high,0.008210526315789474,2.0708
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1400,5,200,medium,0.06710526315789474,3.7408
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1400,5,200,low,0.22894736842105262,12.633
