log_file,activity_count,users,resources,selectivity_level,selectivity,detection_time
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,400,5,71,low,0.24062268346923646,3.3229999999999995
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,600,5,89,high,0.02259018332347723,1.2946
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,600,5,89,medium,0.05393258426966292,1.3404
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,600,5,89,low,0.2560615020697812,4.8004
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,800,5,110,high,0.018564593301435405,1.2794
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,800,5,110,medium,0.05770334928229665,2.2927
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,800,5,110,low,0.2695693779904306,6.3673
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,1000,5,132,high,0.01547049441786284,1.4193
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,1000,5,132,medium,0.062280701754385964,2.714
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,1000,5,132,low,0.2719298245614035,8.1287
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,1200,5,156,high,0.013225371120107961,1.6440000000000001
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,1200,5,156,medium,0.06673414304993253,2.8625
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,1200,5,156,low,0.27692307692307694,10.043800000000001
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,1400,5,181,high,0.01157313172433847,1.8986999999999998
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,1400,5,181,medium,0.07310264611805757,3.7468000000000004
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,1400,5,181,low,0.28304739749927305,11.509699999999999
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,1600,5,207,high,0.01011950165268243,2.2282
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,1600,5,207,medium,0.07876938723620645,4.8758
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,1600,5,207,low,0.27490465293668953,12.856100000000001
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,1800,5,226,high,0.009222170470423847,2.3082000000000003
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,1800,5,226,medium,0.07931998136935259,4.8172
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,1800,5,226,low,0.27238006520726593,14.241399999999999
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,2000,5,250,high,0.008336842105263158,2.4914
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,2000,5,250,medium,0.08581052631578948,5.6225000000000005
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,2000,5,250,low,0.27221052631578946,15.437899999999999
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,200,5,46,high,0.04416475972540046,0.5711999999999999
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,200,5,46,medium,0.05011441647597254,0.6138
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,200,5,46,low,0.21578947368421053,1.741
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,400,5,70,high,0.02917293233082707,0.8305
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,400,5,70,medium,0.050676691729323306,0.9712999999999999
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,400,5,70,low,0.2469172932330827,3.6987
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,600,5,86,high,0.023990208078335372,1.0455
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,600,5,86,medium,0.05312117503059976,1.3568
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,600,5,86,low,0.2648714810281518,4.858700000000001
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,800,5,111,high,0.018397344713134187,1.318
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,800,5,111,medium,0.05879563774300616,1.9460000000000002
